STF,O2 
1,9.36523
2,89.79004
3,725.63477
4,589.34326
5,303.41309
6,210.88867
7,461.20361
8,514.81445
9,381.03516
10,293.99658
11,387.75146
12,439.79004
13,386.45264
14,332.73926
15,363.17627
16,400.91064
17,388.8623
18,359.82666
19,368.49121
20,389.95605
21,389.32373
22,375.19043
23,375.63477
24,383.70117
25,383.90625
26,377.80518
27,378.33496
28,382.18018
29,385.10254
30,380.86426
31,380.4541
32,382.86377
33,385.22217
34,383.46191
35,384.17969
36,382.91504
37,385.41016
38,384.28223
39,386.29883
40,385.22217
41,387.71729
42,386.07666
43,386.87988
44,386.3501
45,387.39258
46,388.1958
47,388.93066
48,387.46094
49,387.90527
50,388.48633